aktip,aktif
akku,saya
aku,saya
nax,anak
anx,anak
naq,anak
naggh,anak
pa,apa
ppa,apa
ja,aja
ajj,aja
lom,belum
lum,belum
leh,boleh
ru,baru
wat,buat
wad,buat
bangedh,banget
beud,banget
beut,banget
bokebb,porno
cw,cewek
cwekz,cewek
cwok,cowok
cwokz,cowok
cuekin,cuxin
ckep,cakep
ckepp,cakep
ckeb,cakep
c8,chat
w,saya
gw,saya
q,saya
aku,saya
yupz,ya
iy,ya
lupz,ya
imoeth,imut
imoetz,imut
mutz,imut
inich,ini
iniyh,ini
nc,ini
kakagg,kakak
kamuh,kamu
kamyu,kamu
qmu,kamu
kamuwh,kamu
kammooh,kamu
qamue,kamu
khuzuz,khusus
klianz,kalian
nal,kenal
soalnya,karena
coz,karena
cz,karena
kaluw,karena
klw,karena
low,karena
krenz,keren
krent,keren
krang,kurang
kangedh,kangen
kangeunnd,kangen
love,cinta
luph,cinta
luff,cinta
loupz,cinta
louph,cinta
loch,loh
lochkz,loh
lochx,loh
ghiy,lagi
ghiey,lagi
gi,lagi
luthu,lucu
uchul,lucu
luchuw,lucu
lupz,lupa
lo,kamu
lw,kamu
lg,sedang
lgi,sedang
gi,sedang
nich,nih
muuph,maaf
muphs,maaf
maav,maaf
maen,main
mumz,makan
mamz,makan
mums,makan
suk ,masuk
mzuk,masuk
mzug,masuk
mzugg,masuk
hufft,mengeluh
maniezt,manis
manies,manis
ngak,tidak
ga,tidak
g,tidak
niech,nih
photo,foto
paling,sangat
p'ling,sangat
punya,milik
pny,milik
pzt,pasti
sgt2,sangat sangat
jdi,jadi
akhr,akhir
smua,semua
manusia2,manusia
humz,rumah
hozz,rumah
dlu,dulu
t4,tempat
telp,telepon
yukz,yuk
yuqz,yuk
yuk,ayo
yg,yang
adlah,adalah
yg,yang
gmana,bagaimana
y,ya
pdhal,padahal
gk,tidak
sdh,sudah
tapi,tetapi
klo,kalau
aq,saya
sy,saya
stiap,setiap
trnsksi,transaksi
ad,ada
bts,batas
pmblian,pembelian
prmo,promo
prmonya,promonya
trs,terus
dlm,dalam
brp,berapa
tq,terima kasih
knp,kenapa
gk,tidak
thanks,terima kasih
gbs,tidak bisa
tapi,tetapi
gitu,begitu
ajah,saja
hrga,harga
sdh,sudah
brp,berapa
kalo,kalau
gak,tidak
gimana,bagaimana
trs,terus
dpet,dapat
ngeliat,melihat
terimakasih,terima kasih
ak,saya
udah,sudah
sy,saya
utk,untuk
trims,terima kasih
mhn,mohon
htl,hotel
bsm,bersama
brkt,berangkat
tgl,tanggal
nan,dan
jd,jadi
sya,saya
tks,terima kasih
ketjup,kecup
smbl,sambil
blm,belum
tsb,tersebut
dg,dengan
ny,nya
diaa,dia
n,dan
nulisssss,menulis
nulis,menulis
kayak,seperti
trus,terus
curi2,curi-curi
dpt,dapat
teteup,tetap 
plg,paling
dg,dengan
prlu,perlu
bbrp,beberapa
diprhatikan,diperhatikan
ktmu,ketemu
gk,tidak
tempat2,tempat tempat
byk,banyak
drtadi,dari tadi
bagi2,bagi bagi
apa2,apa apa
uda ,sudah
mensyen,mention
brbeda,berbeda
pny,punya
cr,cari
trus,terus
pake,pakai
agr,agar
pmbca,pembaca
trsbt,tersebut
tmpt,tempat 
hrg,harga
prjlanan,perjalanan
lbh,lebih
lgi,lagi
skrng,sekarang
wkt,waktu
hr,hari
org,orang
dg,dengan
td,tadi
sbg,sebagai
msh,masih
trgantung,tergantung
tuket,tiket
mnjadi,menjadi
bwh,bawah
hrs,harus
bgaimana,bagaimana
prjalanan,perjalanan
stelah,setelah
mlelahkan,melelahkan
mngembalikan,mengembalikan
kebnyakan,kebanyakan
dri,dari   
ngirimin,mengirim
enggak,tidak
engga,tidak
nggak,tidak
pantes,pantas
kecee,kece
itung,hitung
bener,benar
nyumbang,menyumbang
nguntungin,menguntungkan
byr,bayar
nginep,menginap
orgorg,orang-orang
mnjadi,menjadi
bberapa,beberapa
bln,bulan
uda,sudah
bsa,bisa
mnghsilkan,menghasilkan
jawan,jawab
jawaaab,jawab
ngebuka,buka
baikin,baik
bkn,bukan
dg,dengan
apapn,apapun
skedar,sekedar
mncari,mencari
klu,kalau
bs,bisa
bisaaa,bisa
bangeet,banget
gmn,bagaimana
pmbaca,pembaca
prhatikan,perhatikan
komen2,komentar
aja,saja
udah,sudah
engagememt,engagement
jgn,jangan
jg,juga
dpt,dapat
ragu2x,ragu ragu
sblum,sebelum
lbih,lebih
nulis,menulis
mw,mau
ngalir,mengalir
sprti,seperti
hrus,harus
tau,tahu
sprti,seperti
dg,dengan
trus,terus
dlm,dalam
dann,dan
sbnarnya,sebenarnya
sndiri,sendiri
twma,tema
khidupan,kehidupan
teman2,teman
rata2,rata-rata
masing2,masing-masing
masingmasing,masing masing
sebernanya,sebenarnya
beguna,berguna
pmbcr,pembicara
prtm,pertama
ntah,entah
bg,abang
pngen,ingin
nambah,tambah
kesalahan2,kesalahan
selese,selesai
pnya,punya
sblum,sebelum
sdng,sedang
ttg,tentang
ktmu,ketemu
aksea,akses
mendokkrak,mendongkrak
sering2,sering
lsg,langsung
dmn,dimana
thl,tanggal
dpt,dapat
donk,dong
plmbang,palembang
bndung,bandung
guna,berguna
telfon,telepon
gada,tidak ada
masi,masih
brarti,berarti
tar,nanti
dobel,double
intl,internasional
bs,bisa
say,saya
apalikasi,aplikasi
pd,kepada 
ktiga,ketiga
dn,dan
moga,semoga
karna,karena
untk,untuk
nmr,nomor
kmr,kamar
mskapai,maskapai
memg,memang
traveokanya,travelokanya
melkukan,melakukan
tng,tentang
penjelasanya,penjelasannya
trimakasih,terima kasih
smlm,semalam
dg,dengan
sdh,sudah
saâ€™at,saat
chek,check
krm,kirim
refouds,refounds
mnghubing,menghubungi
ber'arti,berarti
org,orang
pebgaduan,pengaduan
refoudsnya,refounds
apakh,apakah
pemenang,pemenang
skrg,sekarang
statua,status
danayanya,dana
ngantre,mengantri
gak,tidak
haii,hai
dbuka,di buka
dy,dia
sndirinya,sendirinya
ndak,tidak
audah,sudah
kjlsn,kejelasan
ttg,tentang
smp,sampai
nda,tidak
beda2,beda beda
dr,dari   
ga,tidak
makasih,terima kasih
pa,apa 
bs,bisa
d,di  
thn,tahun
trmn ksh,terima kasih
thks,terima kasih
melakukab,melakukan
tlg,tolong
anak2,anak anak
th,tahun
kmarin,kemarin
diknfirmasike,dikonfirmasi ke
peswat,pesawat
untk,untuk
bokingnya,bookingnya
mrndapat,mendapat
skitar,sekitar
sblm,sebelum
klo,kalau
beress,beres
bgtu,begitu
tlfn,telepon
kta,kata
tmn,teman
pke,pakai
trf,transfer
bgmana,bagaimana
sdh,sudah
msuk,masuk
mw,mau
nanya,tanya
trus,terus
pemsanan ,pemesanan
masi,masih
ngga,tidak
thx,terima kasih
tengkyu,terima kasih
telpon,telepon
ktnya,katanya
udh,sudah
slmt,selamat
trm ksh,terima kasih
bmana,bagaimana
min,admin
mmsan,memesan
tapi,tetapi
trus,terus
blm,belum
mendptkan,mendapatkan
tdk,tidak
brngkat,berangkat
tp,tetapi
\n,dan
no,tidak
gt,begitu
mureh,murah
msan,pesan
gue,saya
bgt,banget
krn,karena
gapapa,tidak apa-apa
lagilagi,lagi-lagi
lho,loh
tlp,telepon
sring,sering
srng,sering
srg,sering
x,sangat
mncul,muncul
bgt,sangat
mudah2an,mudah-mudahan
bngt,sangat
caritau,cari tau
cicitâ²,cita cita
ttap,tetap
kunjungankunjugan,kunjungan kunjugan
sipilmiliter,sipil militer
disebutkankan,disebutkan
tidar,tidur
mengupdate,membaharui
kkir,kikir
dapt,dapat
ummat,umat
list,daftar
rakyt,rakyat
trhdp,terhadap
urgent,mendesak
only,hanya
words,kata
tpdi,tadi
aset2,aset
bank2,bank
bisaa,bisa
gila2,gila
oranglain,orang lain
bobroknyaaa,buruk
dekt,dekat
hati2,hati hati
pejabat2,pejabat pejabat
darpada,dari pada
ingim,ingin
gunanys,gunanya
trimo,terima
pengen,ingin
spaya,supaya
caara,cara
damaiii,damai
santaiii,santai
sekaliii,sekali
gara2,gara-gara
yuuuk,ayo
pdhl,padahal
hakhak,hak hak
kpubali,kpu bali
capek2,lelah
nnti,nanti
percya,percaya
msih,masih
mcam,macam
bagaimna,bagaimana
berthan,bertahan
hdup,hidup
slit,sulit
semkin,semakin
bruk,buruk
cepet,cepat
beres,selesai
aminnn,amin
benarbenar,benar benar
deket,dekat
ngaku,mengakui
laen,lain
nerima,terima
inget2,ingat
gausah,tidak usah
kelompok2,kelompok-kelompok
jelasng,jelas
cape2,capek capek
klaw,kalau
sja,saja
tahapan²,tahapan tahapan
perhatiin,perhatikan
gakebayang,tidak terbayang
males,malas
kunjungankunjungan,kunjungan
ujung2nya,ujungnya
ngelanggar,melanggar
yaaa,iya
yaaaa,iya
pura2,pura pura
tandain,penanda
sorry,maaf
skrmg,sekarang
dgn,dengan
daerah2,daerah daerah
mndukung,mendukung
klancaran,kelancaran
tahpan,tahapan
pemlu,pemilu
koar2,koar koar
bersma,bersama
berhatihati,berhati-hati
temen2,teman teman
pihak2,pihak pihak
partai2nya, partai partainya
kemaren,kemarin
bnyknya,banyak
ngomong2,ngomong ngomong
nolak,menolak
yth, yang terhormat
slama,selama
daftara,daftar
ngeri,menyeramkan
negri,negeri
ayoawasi,awasi
sepakbola,sepak bola
mikirin,berpikir
untuj,untuk
gua,saya
nyamasyarakat,masyarakat
prihatin,perhatikan
danadarurat,dana darurat
siapa2,siapa-siapa
stlh,setelah
bisa2,bisa
debt,debat
sikatterus,terus bekerja
mwmbunuh,membunuh
hayuk,ayo
kaderx2,kader
kokowi,jokowi
ayoo,ayo
lali,lupa
ojo,jangan
dukungan088233359450,dukungan
pemilu,pemilihan
oreng,orang
dengerdenger,dengar
duo,dua
pak,bapak
indo,indonesia
bpk,bapak
oreng,orang
bal,bali
manggo,silahkan
guys,teman teman
kesantuna,santun
kpn,kapan
yes,ya
hny,hanya
nga,tidak
hran,heran
hri,hari
gni,gini
ributin,ribut
fix,pasti
lu,kamu
piye,bagimana
sm,sama
sdg,sedang
emg,memang
pedeipe,pdip
bnyk,banyak
gin,gini
suxes,sukses
kudu,mesti
hti,hati hati
anjgggg,anjing
anjg,anjing
gamau,tidak mau
kaga,tidak
bnyak,banyak
kl,kalau
stlah,setelah
klh,kalah
ttp,tetap
nggk,tidak
hrpn,harapan
sgt,sangat
tolol,bodoh
goblok,bodoh
gabisa,tidak bisa
kau,kamu
loe,kamu
ngk,tidak
ntar,nanti
orgnya,orang
orangorang,orang
psti,pasti
pinter,pintar
smoga,semoga
sleep,tidur
skg ,sekarang
temen,taman
tetep,tetap
thinking,pikir
village,desa
wait,tunggu
yaudah,sudah
yaudahlah,sudah
you,kamu
see,lihat
ade,ada
adl,adil
aamiin,amin
all,semua
anj,anjing
anjiir,anjing
anjir,anjing
bodo,bodoh
boss,bos
buzzerp,buzzer
gatau,tidak tau
nutupin,tutup
boong,bohong
skg ,sekarang
next,lanjut
jdkan,jadi
dikatain,dikatakan
ptanyaan,pertanyaan
mampussssss,mampus
 jkw ,jokowi
pemilurakyat,pemilu rakyat
cerdasyuuk,cerdas
setinggitingginya,tinggi
